spot_id,spot_type,start_x,end_x,start_y,end_y
0,EV,98,119,8,33
1,EV,128,149,8,33
2,EV,158,179,8,33
3,EV,188,209,8,33
4,EV,218,239,8,33
5,EV,248,269,8,33
6,EV,278,299,8,33
7,Regular,8,33,38,59
8,Regular,64,89,38,59
9,Regular,8,33,68,89
10,Regular,64,89,68,89
11,Regular,128,149,64,89
12,Regular,158,179,64,89
13,Regular,188,209,64,89
14,Regular,218,239,64,89
15,Regular,248,269,64,89
16,Regular,8,33,98,119
17,Regular,64,89,98,119
18,Regular,128,149,98,123
19,Regular,158,179,98,123
20,Regular,188,209,98,123
21,Regular,218,239,98,123
22,Regular,248,269,98,123
23,Regular,8,33,128,149
24,Regular,64,89,128,149
25,Regular,8,33,158,179
26,Regular,64,89,158,179
27,Regular,128,149,154,179
28,Regular,158,179,154,179
29,Regular,188,209,154,179
30,Regular,218,239,154,179
31,Regular,248,269,154,179
32,Regular,8,33,188,209
33,Regular,64,89,188,209
34,Regular,128,149,188,213
35,Regular,158,179,188,213
36,Regular,188,209,188,213
37,Regular,218,239,188,213
38,Regular,248,269,188,213
39,Regular,8,33,218,239
40,Regular,8,33,248,269
41,Regular,64,89,248,269
42,Regular,98,123,248,269
43,Regular,154,179,248,269
44,Regular,188,213,248,269
45,Handicap,274,299,248,269
46,Regular,8,33,278,299
47,Regular,64,89,278,299
48,Regular,98,123,278,299
49,Regular,154,179,278,299
50,Regular,188,213,278,299
51,Handicap,274,299,278,299
