spot_id,spot_type,start_x,end_x,start_y,end_y
0,Regular,34,63,4,33
1,Regular,64,93,4,33
2,Regular,94,123,4,33
3,Regular,124,153,4,33
4,Regular,154,183,4,33
5,Regular,184,213,4,33
6,Regular,214,243,4,33
7,Handicap,244,273,4,33
8,Handicap,274,303,4,33
9,Handicap,304,333,4,33
10,Handicap,334,363,4,33
11,Handicap,364,393,4,33
12,Handicap,394,423,4,33
13,EV,4,33,64,93
14,Regular,94,123,64,93
15,Regular,124,153,64,93
16,Regular,154,183,64,93
17,Regular,184,213,64,93
18,Regular,214,243,64,93
19,Regular,244,273,64,93
20,Regular,274,303,64,93
21,Regular,304,333,64,93
22,Regular,334,363,64,93
23,EV,4,33,94,123
24,Regular,94,123,94,123
25,Regular,124,153,94,123
26,Regular,154,183,94,123
27,Regular,184,213,94,123
28,Regular,214,243,94,123
29,Regular,244,273,94,123
30,Regular,274,303,94,123
31,Regular,304,333,94,123
32,Regular,334,363,94,123
33,EV,4,33,124,153
34,EV,4,33,154,183
35,EV,4,33,184,213
36,Regular,94,123,184,213
37,Regular,124,153,184,213
38,Regular,154,183,184,213
39,Regular,184,213,184,213
40,Regular,214,243,184,213
41,Regular,244,273,184,213
42,Regular,274,303,184,213
43,Regular,304,333,184,213
44,Regular,334,363,184,213
45,EV,4,33,214,243
46,Regular,94,123,214,243
47,Regular,124,153,214,243
48,Regular,154,183,214,243
49,Regular,184,213,214,243
50,Regular,214,243,214,243
51,Regular,244,273,214,243
52,Regular,274,303,214,243
53,Regular,304,333,214,243
54,Regular,334,363,214,243
55,Regular,34,63,274,303
56,Regular,64,93,274,303
57,Regular,94,123,274,303
58,Regular,124,153,274,303
59,Regular,154,183,274,303
60,Regular,184,213,274,303
61,Regular,214,243,274,303
62,Regular,244,273,274,303
63,Regular,274,303,274,303
64,Regular,304,333,274,303
65,Regular,334,363,274,303
66,Regular,364,393,274,303
67,Regular,394,423,274,303
